,lambd,p,nnz,k
0,0.125,29,,3.0
1,0.125,23,,0.0
2,0.125,37,,37.0
3,0.125,22,,0.0
4,0.125,33,,0.0
5,0.125,21,,2.0
6,0.125,38,,38.0
7,0.125,27,,27.0
8,0.125,23,,10.0
9,0.125,22,,11.0
10,0.125,35,,35.0
11,0.125,21,,0.0
12,0.125,31,,3.0
13,0.125,17,,12.0
14,0.125,29,,0.0
15,0.125,28,,21.0
16,0.125,33,,22.0
17,0.125,38,,3.0
18,0.125,23,,0.0
19,0.125,31,,31.0
20,0.125,19,,13.0
21,0.125,40,,40.0
22,0.125,25,,0.0
23,0.125,43,,43.0
24,0.125,24,,0.0
25,0.125,22,,1.0
26,0.125,28,,28.0
27,0.125,20,,0.0
28,0.125,28,,28.0
29,0.125,38,,35.0
30,0.125,16,,1.0
31,0.125,25,,0.0
32,0.125,24,,0.0
33,0.125,16,,0.0
34,0.125,26,,26.0
35,0.125,29,,9.0
36,0.125,42,,42.0
37,0.125,30,,0.0
38,0.125,36,,26.0
39,0.125,36,,16.0
40,0.125,36,,36.0
41,0.125,31,,0.0
42,0.125,27,,23.0
43,0.125,27,,0.0
44,0.125,58,,39.0
45,0.125,20,,20.0
46,0.125,36,,1.0
47,0.125,32,,0.0
48,0.125,30,,0.0
49,0.125,38,,31.0
50,0.125,35,,13.0
51,0.125,29,,28.0
52,0.125,18,,18.0
53,0.125,20,,0.0
54,0.125,32,,7.0
55,0.125,29,,29.0
56,0.125,34,,34.0
57,0.125,30,,14.0
58,0.125,41,,0.0
59,0.125,21,,0.0
60,0.125,37,,37.0
61,0.125,37,,9.0
62,0.125,39,,16.0
63,0.125,39,,21.0
64,0.125,14,,14.0
65,0.125,21,,1.0
66,0.125,35,,1.0
67,0.125,29,,0.0
68,0.125,25,,3.0
69,0.125,18,,18.0
70,0.125,35,,0.0
71,0.125,32,,16.0
72,0.125,33,,0.0
73,0.125,24,,0.0
74,0.125,28,,9.0
75,0.125,33,,25.0
76,0.125,17,,0.0
77,0.125,28,,18.0
78,0.125,18,,0.0
79,0.125,19,,0.0
80,0.125,23,,0.0
81,0.125,24,,19.0
82,0.125,29,,28.0
83,0.125,28,,1.0
84,0.125,31,,31.0
85,0.125,18,,0.0
86,0.125,30,,30.0
87,0.125,25,,23.0
88,0.125,37,,37.0
89,0.125,24,,1.0
90,0.125,25,,1.0
91,0.125,38,,11.0
92,0.125,12,,0.0
93,0.125,22,,17.0
94,0.125,26,,1.0
95,0.125,40,,37.0
96,0.125,30,,10.0
97,0.125,27,,0.0
98,0.125,28,,4.0
99,0.125,18,,0.0
100,0.125,42,,5.0
101,0.125,36,,2.0
102,0.125,15,,0.0
103,0.125,28,,17.0
104,0.125,24,,11.0
105,0.125,32,,30.0
106,0.125,54,,54.0
107,0.125,25,,0.0
108,0.125,28,,13.0
109,0.125,31,,0.0
110,0.125,32,,19.0
111,0.125,34,,0.0
112,0.125,33,,24.0
113,0.125,25,,0.0
114,0.125,31,,0.0
115,0.125,20,,8.0
116,0.125,19,,0.0
117,0.125,29,,29.0
118,0.125,21,,10.0
119,0.125,41,,41.0
120,0.125,29,,15.0
121,0.125,19,,0.0
122,0.125,29,,29.0
123,0.125,34,,0.0
124,0.125,30,,0.0
125,0.125,33,,33.0
126,0.125,31,,15.0
127,0.125,23,,0.0
128,0.125,44,,44.0
129,0.125,23,,8.0
130,0.125,25,,21.0
131,0.125,29,,29.0
132,0.125,34,,0.0
133,0.125,31,,30.0
134,0.125,38,,29.0
135,0.125,12,,3.0
136,0.125,23,,0.0
137,0.125,29,,29.0
138,0.125,24,,1.0
139,0.125,33,,12.0
140,0.125,27,,14.0
141,0.125,7,,0.0
142,0.125,41,,28.0
143,0.125,36,,8.0
144,0.125,27,,26.0
145,0.125,17,,17.0
146,0.125,34,,20.0
147,0.125,29,,29.0
148,0.125,22,,0.0
149,0.125,57,,57.0
150,0.125,29,,0.0
151,0.125,37,,37.0
152,0.125,27,,27.0
153,0.125,31,,0.0
154,0.125,28,,0.0
155,0.125,30,,30.0
156,0.125,18,,4.0
157,0.125,35,,19.0
158,0.125,36,,5.0
159,0.125,34,,17.0
160,0.125,35,,11.0
161,0.125,30,,11.0
162,0.125,24,,24.0
163,0.125,15,,0.0
164,0.125,40,,40.0
165,0.125,32,,17.0
166,0.125,31,,2.0
167,0.125,29,,0.0
168,0.125,25,,0.0
169,0.125,26,,3.0
170,0.125,28,,28.0
171,0.125,32,,24.0
172,0.125,31,,5.0
173,0.125,28,,28.0
174,0.125,24,,1.0
175,0.125,36,,36.0
