,lambd,p,nnz,k
0,0.5,64,,64.0
1,0.5,64,,64.0
2,0.5,64,,15.0
3,0.5,64,,18.0
4,0.5,64,,56.0
5,0.5,64,,64.0
6,0.5,64,,64.0
7,0.5,64,,64.0
8,0.5,64,,31.0
9,0.5,64,,64.0
10,0.5,64,,28.0
11,0.5,64,,64.0
12,0.5,64,,56.0
13,0.5,64,,64.0
14,0.5,64,,64.0
15,0.5,64,,64.0
16,0.5,64,,64.0
17,0.5,64,,64.0
18,0.5,64,,48.0
19,0.5,64,,43.0
20,0.5,64,,25.0
21,0.5,64,,54.0
22,0.5,64,,64.0
23,0.5,64,,64.0
24,0.5,64,,17.0
25,0.5,64,,64.0
26,0.5,64,,64.0
27,0.5,64,,64.0
28,0.5,64,,30.0
29,0.5,64,,64.0
30,0.5,64,,64.0
31,0.5,64,,51.0
32,0.5,64,,64.0
33,0.5,64,,64.0
34,0.5,64,,39.0
35,0.5,64,,64.0
36,0.5,64,,64.0
37,0.5,64,,20.0
38,0.5,64,,64.0
39,0.5,64,,64.0
40,0.5,64,,64.0
41,0.5,64,,61.0
42,0.5,64,,57.0
43,0.5,64,,64.0
44,0.5,64,,64.0
45,0.5,64,,64.0
46,0.5,64,,57.0
47,0.5,64,,64.0
48,0.5,64,,64.0
49,0.5,64,,14.0
50,0.5,64,,32.0
51,0.5,64,,64.0
52,0.5,64,,11.0
53,0.5,64,,64.0
54,0.5,64,,64.0
55,0.5,64,,64.0
56,0.5,64,,25.0
57,0.5,64,,64.0
58,0.5,64,,64.0
59,0.5,64,,64.0
60,0.5,64,,64.0
61,0.5,64,,40.0
62,0.5,64,,30.0
63,0.5,64,,64.0
64,0.5,64,,60.0
65,0.5,64,,64.0
66,0.5,64,,64.0
67,0.5,64,,22.0
68,0.5,64,,34.0
69,0.5,64,,64.0
70,0.5,64,,17.0
71,0.5,64,,64.0
72,0.5,64,,64.0
73,0.5,64,,64.0
74,0.5,64,,64.0
75,0.5,64,,64.0
76,0.5,64,,37.0
77,0.5,64,,14.0
78,0.5,64,,64.0
79,0.5,64,,39.0
80,0.5,64,,64.0
81,0.5,64,,64.0
82,0.5,64,,25.0
83,0.5,64,,64.0
84,0.5,64,,64.0
85,0.5,64,,64.0
86,0.5,64,,64.0
87,0.5,64,,17.0
88,0.5,64,,38.0
89,0.5,64,,64.0
90,0.5,64,,45.0
91,0.5,64,,62.0
92,0.5,64,,13.0
93,0.5,64,,64.0
94,0.5,64,,64.0
95,0.5,64,,64.0
96,0.5,64,,63.0
97,0.5,64,,11.0
98,0.5,64,,49.0
99,0.5,64,,64.0
100,0.5,64,,64.0
101,0.5,64,,22.0
102,0.5,64,,64.0
103,0.5,64,,64.0
104,0.5,64,,64.0
105,0.5,64,,46.0
106,0.5,64,,41.0
107,0.5,64,,64.0
108,0.5,64,,24.0
109,0.5,64,,7.0
110,0.5,64,,64.0
111,0.5,64,,64.0
112,0.5,64,,48.0
113,0.5,64,,64.0
114,0.5,64,,64.0
115,0.5,64,,64.0
116,0.5,64,,27.0
117,0.5,64,,64.0
118,0.5,64,,14.0
119,0.5,64,,64.0
120,0.5,64,,64.0
121,0.5,64,,64.0
122,0.5,64,,64.0
123,0.5,64,,62.0
124,0.5,64,,64.0
125,0.5,64,,51.0
126,0.5,64,,64.0
127,0.5,64,,64.0
128,0.5,64,,32.0
129,0.5,64,,64.0
130,0.5,64,,64.0
131,0.5,64,,40.0
132,0.5,64,,64.0
133,0.5,64,,64.0
134,0.5,64,,64.0
135,0.5,64,,64.0
136,0.5,64,,64.0
137,0.5,64,,30.0
138,0.5,64,,64.0
139,0.5,64,,15.0
140,0.5,64,,64.0
141,0.5,64,,64.0
142,0.5,64,,10.0
143,0.5,64,,44.0
144,0.5,64,,17.0
145,0.5,64,,58.0
146,0.5,64,,64.0
147,0.5,64,,11.0
148,0.5,64,,25.0
149,0.5,64,,64.0
150,0.5,64,,64.0
151,0.5,64,,17.0
152,0.5,64,,64.0
153,0.5,64,,19.0
154,0.5,64,,64.0
155,0.5,64,,49.0
156,0.5,64,,64.0
157,0.5,64,,62.0
158,0.5,64,,31.0
159,0.5,64,,64.0
160,0.5,64,,55.0
161,0.5,64,,17.0
162,0.5,64,,64.0
163,0.5,64,,64.0
164,0.5,64,,31.0
165,0.5,64,,64.0
166,0.5,64,,64.0
167,0.5,64,,57.0
168,0.5,64,,64.0
169,0.5,64,,24.0
170,0.5,64,,64.0
171,0.5,64,,21.0
172,0.5,64,,64.0
173,0.5,64,,64.0
174,0.5,64,,58.0
175,0.5,64,,64.0
176,0.5,64,,38.0
177,0.5,64,,64.0
178,0.5,64,,64.0
179,0.5,64,,64.0
180,0.5,64,,64.0
181,0.5,64,,41.0
182,0.5,64,,10.0
183,0.5,64,,29.0
184,0.5,64,,64.0
185,0.5,64,,64.0
186,0.5,64,,15.0
187,0.5,64,,64.0
188,0.5,64,,64.0
189,0.5,64,,55.0
190,0.5,64,,30.0
191,0.5,64,,64.0
192,0.5,64,,64.0
193,0.5,64,,64.0
194,0.5,64,,46.0
195,0.5,64,,64.0
196,0.5,64,,21.0
197,0.5,64,,64.0
198,0.5,64,,19.0
199,0.5,64,,2.0
200,0.5,64,,56.0
201,0.5,64,,64.0
202,0.5,64,,64.0
203,0.5,64,,64.0
204,0.5,64,,64.0
205,0.5,64,,64.0
206,0.5,64,,19.0
207,0.5,64,,64.0
208,0.5,64,,64.0
209,0.5,64,,33.0
210,0.5,64,,13.0
211,0.5,64,,15.0
212,0.5,64,,64.0
213,0.5,64,,64.0
214,0.5,64,,64.0
215,0.5,64,,64.0
216,0.5,64,,64.0
217,0.5,64,,64.0
218,0.5,64,,64.0
219,0.5,64,,64.0
220,0.5,64,,64.0
221,0.5,64,,25.0
222,0.5,64,,64.0
223,0.5,64,,10.0
224,0.5,64,,16.0
225,0.5,64,,64.0
226,0.5,64,,64.0
227,0.5,64,,64.0
228,0.5,64,,24.0
229,0.5,64,,36.0
230,0.5,64,,64.0
231,0.5,64,,22.0
232,0.5,64,,34.0
233,0.5,64,,63.0
234,0.5,64,,64.0
235,0.5,64,,64.0
236,0.5,64,,64.0
237,0.5,64,,64.0
238,0.5,64,,29.0
239,0.5,64,,64.0
240,0.5,64,,64.0
241,0.5,64,,64.0
242,0.5,64,,64.0
243,0.5,64,,64.0
244,0.5,64,,31.0
245,0.5,64,,64.0
246,0.5,64,,64.0
247,0.5,64,,64.0
248,0.5,64,,45.0
249,0.5,64,,34.0
250,0.5,64,,16.0
251,0.5,64,,64.0
252,0.5,64,,25.0
253,0.5,64,,64.0
254,0.5,64,,21.0
255,0.5,64,,64.0
256,0.5,64,,64.0
257,0.5,64,,64.0
258,0.5,64,,64.0
259,0.5,64,,64.0
260,0.5,64,,29.0
261,0.5,64,,11.0
262,0.5,64,,64.0
263,0.5,64,,64.0
264,0.5,64,,64.0
265,0.5,64,,64.0
266,0.5,64,,50.0
267,0.5,64,,64.0
268,0.5,64,,64.0
269,0.5,64,,64.0
270,0.5,64,,64.0
271,0.5,64,,64.0
272,0.5,64,,64.0
273,0.5,64,,64.0
274,0.5,64,,64.0
275,0.5,64,,64.0
276,0.5,64,,36.0
277,0.5,64,,64.0
278,0.5,64,,64.0
279,0.5,64,,43.0
280,0.5,64,,26.0
281,0.5,64,,64.0
282,0.5,64,,29.0
283,0.5,64,,42.0
284,0.5,64,,64.0
285,0.5,64,,11.0
286,0.5,64,,30.0
287,0.5,64,,64.0
288,0.5,64,,64.0
289,0.5,64,,50.0
290,0.5,64,,64.0
291,0.5,64,,57.0
292,0.5,64,,38.0
293,0.5,64,,64.0
294,0.5,64,,24.0
295,0.5,64,,64.0
296,0.5,64,,64.0
297,0.5,64,,64.0
298,0.5,64,,64.0
299,0.5,64,,64.0
300,0.5,64,,18.0
301,0.5,64,,19.0
302,0.5,64,,38.0
303,0.5,64,,64.0
304,0.5,64,,64.0
305,0.5,64,,61.0
