,lambd,p,nnz,k
0,0.125,29,,0.0
1,0.125,23,,0.0
2,0.125,37,,37.0
3,0.125,22,,0.0
4,0.125,33,,8.0
5,0.125,21,,1.0
6,0.125,38,,1.0
7,0.125,27,,27.0
8,0.125,23,,23.0
9,0.125,22,,19.0
10,0.125,35,,19.0
11,0.125,21,,0.0
12,0.125,31,,0.0
13,0.125,17,,13.0
14,0.125,29,,0.0
15,0.125,28,,25.0
16,0.125,33,,0.0
17,0.125,38,,20.0
18,0.125,23,,4.0
19,0.125,31,,12.0
20,0.125,19,,1.0
21,0.125,40,,1.0
22,0.125,25,,0.0
23,0.125,43,,12.0
24,0.125,24,,0.0
25,0.125,22,,22.0
26,0.125,28,,8.0
27,0.125,20,,0.0
28,0.125,28,,14.0
29,0.125,38,,0.0
30,0.125,16,,1.0
31,0.125,25,,0.0
32,0.125,24,,0.0
33,0.125,16,,0.0
34,0.125,26,,26.0
35,0.125,29,,0.0
36,0.125,42,,10.0
37,0.125,30,,0.0
38,0.125,36,,30.0
39,0.125,36,,0.0
40,0.125,36,,2.0
41,0.125,31,,0.0
42,0.125,27,,7.0
43,0.125,27,,17.0
44,0.125,58,,42.0
45,0.125,20,,1.0
46,0.125,36,,1.0
47,0.125,32,,8.0
48,0.125,30,,0.0
49,0.125,38,,30.0
50,0.125,35,,15.0
51,0.125,29,,7.0
52,0.125,18,,1.0
53,0.125,20,,0.0
54,0.125,32,,0.0
55,0.125,29,,1.0
56,0.125,34,,34.0
57,0.125,30,,15.0
58,0.125,41,,0.0
59,0.125,21,,0.0
60,0.125,37,,37.0
61,0.125,37,,0.0
62,0.125,39,,0.0
63,0.125,39,,0.0
64,0.125,14,,1.0
65,0.125,21,,2.0
66,0.125,35,,1.0
67,0.125,29,,7.0
68,0.125,25,,2.0
69,0.125,18,,1.0
70,0.125,35,,0.0
71,0.125,32,,10.0
72,0.125,33,,0.0
73,0.125,24,,0.0
74,0.125,28,,9.0
75,0.125,33,,26.0
76,0.125,17,,0.0
77,0.125,28,,19.0
78,0.125,18,,2.0
79,0.125,19,,0.0
80,0.125,23,,0.0
81,0.125,24,,24.0
82,0.125,29,,3.0
83,0.125,28,,15.0
84,0.125,31,,31.0
85,0.125,18,,0.0
86,0.125,30,,1.0
87,0.125,25,,3.0
88,0.125,37,,10.0
89,0.125,24,,24.0
90,0.125,25,,1.0
91,0.125,38,,38.0
92,0.125,12,,0.0
93,0.125,22,,0.0
94,0.125,26,,1.0
95,0.125,40,,16.0
96,0.125,30,,0.0
97,0.125,27,,0.0
98,0.125,28,,0.0
99,0.125,18,,0.0
100,0.125,42,,0.0
101,0.125,36,,0.0
102,0.125,15,,0.0
103,0.125,28,,0.0
104,0.125,24,,1.0
105,0.125,32,,32.0
106,0.125,54,,54.0
107,0.125,25,,0.0
108,0.125,28,,19.0
109,0.125,31,,16.0
110,0.125,32,,29.0
111,0.125,34,,33.0
112,0.125,33,,5.0
113,0.125,25,,13.0
114,0.125,31,,8.0
115,0.125,20,,5.0
116,0.125,19,,0.0
117,0.125,29,,29.0
118,0.125,21,,21.0
119,0.125,41,,4.0
120,0.125,29,,2.0
121,0.125,19,,0.0
122,0.125,29,,29.0
123,0.125,34,,0.0
124,0.125,30,,0.0
125,0.125,33,,15.0
126,0.125,31,,14.0
127,0.125,23,,0.0
128,0.125,44,,44.0
129,0.125,23,,3.0
130,0.125,25,,7.0
131,0.125,29,,29.0
132,0.125,34,,14.0
133,0.125,31,,31.0
134,0.125,38,,0.0
135,0.125,12,,0.0
136,0.125,23,,3.0
137,0.125,29,,2.0
138,0.125,24,,12.0
139,0.125,33,,0.0
140,0.125,27,,0.0
141,0.125,7,,0.0
142,0.125,41,,0.0
143,0.125,36,,17.0
144,0.125,27,,11.0
145,0.125,17,,17.0
146,0.125,34,,32.0
147,0.125,29,,1.0
148,0.125,22,,0.0
149,0.125,57,,57.0
150,0.125,29,,0.0
151,0.125,37,,37.0
152,0.125,27,,1.0
153,0.125,31,,0.0
154,0.125,28,,0.0
155,0.125,30,,1.0
156,0.125,18,,0.0
157,0.125,35,,28.0
158,0.125,36,,0.0
159,0.125,34,,0.0
160,0.125,35,,13.0
161,0.125,30,,1.0
162,0.125,24,,1.0
163,0.125,15,,0.0
164,0.125,40,,37.0
165,0.125,32,,8.0
166,0.125,31,,4.0
167,0.125,29,,0.0
168,0.125,25,,0.0
169,0.125,26,,0.0
170,0.125,28,,28.0
171,0.125,32,,28.0
172,0.125,31,,0.0
173,0.125,28,,28.0
174,0.125,24,,24.0
175,0.125,36,,1.0
176,0.125,32,,17.0
177,0.125,29,,15.0
178,0.125,27,,0.0
179,0.125,44,,18.0
180,0.125,36,,0.0
181,0.125,30,,1.0
182,0.125,24,,6.0
183,0.125,37,,9.0
184,0.125,26,,17.0
185,0.125,24,,0.0
186,0.125,17,,0.0
187,0.125,25,,13.0
188,0.125,18,,0.0
189,0.125,35,,9.0
190,0.125,37,,4.0
191,0.125,20,,11.0
192,0.125,27,,12.0
193,0.125,20,,14.0
194,0.125,26,,0.0
195,0.125,29,,14.0
196,0.125,28,,25.0
197,0.125,31,,16.0
198,0.125,30,,0.0
199,0.125,28,,1.0
200,0.125,22,,0.0
201,0.125,27,,15.0
202,0.125,35,,21.0
203,0.125,29,,0.0
204,0.125,20,,20.0
205,0.125,48,,18.0
206,0.125,33,,33.0
207,0.125,17,,0.0
208,0.125,42,,11.0
209,0.125,33,,33.0
210,0.125,34,,1.0
211,0.125,39,,10.0
212,0.125,33,,10.0
213,0.125,27,,0.0
214,0.125,12,,1.0
215,0.125,26,,0.0
216,0.125,38,,22.0
217,0.125,28,,0.0
218,0.125,31,,25.0
219,0.125,27,,1.0
220,0.125,49,,15.0
221,0.125,32,,16.0
222,0.125,16,,16.0
223,0.125,42,,17.0
224,0.125,24,,0.0
225,0.125,34,,4.0
226,0.125,34,,0.0
227,0.125,18,,18.0
228,0.125,36,,36.0
229,0.125,26,,0.0
230,0.125,23,,0.0
231,0.125,36,,36.0
232,0.125,28,,0.0
233,0.125,27,,0.0
234,0.125,31,,8.0
235,0.125,28,,0.0
236,0.125,25,,0.0
237,0.125,29,,10.0
238,0.125,28,,0.0
239,0.125,34,,0.0
240,0.125,43,,0.0
241,0.125,30,,17.0
242,0.125,28,,1.0
243,0.125,27,,3.0
244,0.125,31,,0.0
245,0.125,35,,0.0
246,0.125,29,,17.0
247,0.125,37,,12.0
248,0.125,25,,25.0
249,0.125,33,,33.0
250,0.125,30,,0.0
251,0.125,38,,38.0
252,0.125,28,,28.0
253,0.125,32,,30.0
254,0.125,17,,14.0
255,0.125,26,,0.0
256,0.125,31,,9.0
257,0.125,32,,11.0
258,0.125,37,,20.0
259,0.125,25,,0.0
260,0.125,30,,8.0
261,0.125,37,,0.0
262,0.125,33,,33.0
263,0.125,37,,0.0
264,0.125,39,,19.0
265,0.125,38,,6.0
266,0.125,25,,0.0
267,0.125,37,,0.0
268,0.125,29,,0.0
269,0.125,25,,11.0
270,0.125,21,,0.0
271,0.125,34,,1.0
272,0.125,32,,1.0
273,0.125,34,,18.0
274,0.125,21,,0.0
275,0.125,18,,0.0
276,0.125,32,,32.0
277,0.125,12,,0.0
278,0.125,18,,0.0
279,0.125,29,,0.0
280,0.125,21,,21.0
281,0.125,31,,0.0
282,0.125,28,,28.0
283,0.125,24,,7.0
284,0.125,28,,1.0
285,0.125,30,,8.0
286,0.125,38,,2.0
287,0.125,27,,27.0
288,0.125,35,,0.0
289,0.125,34,,25.0
290,0.125,23,,16.0
291,0.125,37,,14.0
292,0.125,44,,0.0
293,0.125,19,,0.0
294,0.125,32,,0.0
295,0.125,36,,0.0
296,0.125,41,,10.0
297,0.125,46,,1.0
298,0.125,32,,10.0
299,0.125,27,,15.0
300,0.125,23,,23.0
301,0.125,50,,0.0
302,0.125,35,,9.0
303,0.125,42,,0.0
304,0.125,21,,2.0
305,0.125,28,,9.0
306,0.125,19,,0.0
307,0.125,19,,19.0
308,0.125,37,,9.0
309,0.125,17,,17.0
310,0.125,49,,0.0
311,0.125,35,,18.0
312,0.125,30,,0.0
313,0.125,22,,9.0
314,0.125,28,,28.0
315,0.125,23,,0.0
316,0.125,28,,0.0
317,0.125,47,,0.0
318,0.125,20,,0.0
319,0.125,22,,0.0
320,0.125,34,,0.0
321,0.125,21,,1.0
322,0.125,35,,0.0
323,0.125,26,,0.0
324,0.125,19,,0.0
325,0.125,26,,0.0
326,0.125,30,,30.0
327,0.125,31,,10.0
328,0.125,34,,13.0
329,0.125,27,,0.0
330,0.125,39,,39.0
331,0.125,35,,2.0
332,0.125,32,,1.0
333,0.125,40,,0.0
334,0.125,25,,0.0
335,0.125,19,,0.0
