,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,0.125,29,8,1,1,1,1,1,0.5,1.0,0.875,1.0,14,14,14,7,0,14,14,14,6,0
1,1,0.125,23,6,2,1,1,2,2,0.25,0.25,1.0,1.0,5,4,4,16,1,2,0,0,0,1
2,2,0.125,37,10,2,2,2,2,2,0.0625,0.375,1.0,1.0,18,18,18,5,0,18,18,11,5,0
3,3,0.125,22,6,1,1,1,2,2,0.5,0.5,1.0,1.0,5,4,4,16,1,2,0,0,0,1
4,4,0.125,33,9,2,2,2,2,2,0.625,0.25,1.0,1.0,16,16,15,6,0,16,16,16,5,0
5,5,0.125,21,6,0,1,1,0,0,0.0625,0.5,1.0,1.0,10,10,9,8,0,10,10,10,7,0
6,6,0.125,38,10,1,1,1,1,1,0.25,0.75,1.0,1.0,4,3,4,17,1,4,2,4,16,2
7,7,0.125,27,7,2,2,1,2,2,0.125,0.0,1.0,1.0,13,13,11,7,0,13,13,12,6,0
8,8,0.125,23,6,2,1,1,2,2,0.0,0.125,1.0,1.0,11,11,11,9,0,11,11,10,7,0
9,9,0.125,22,6,2,2,1,2,2,0.125,0.0,1.0,1.0,2,1,0,1,1,2,0,0,0,1
10,10,0.125,35,9,2,1,1,2,2,0.25,0.25,1.0,1.0,17,17,17,6,0,17,17,14,5,0
11,11,0.125,21,6,0,1,1,0,0,0.25,0.75,1.0,1.0,10,10,10,10,0,10,10,10,8,0
12,12,0.125,31,8,1,1,1,1,1,0.6875,0.5625,0.75,1.0,3,2,3,20,1,7,6,7,12,1
13,13,0.125,17,5,2,2,1,2,2,0.25,0.25,1.0,1.0,8,8,7,9,0,8,8,8,11,0
14,14,0.125,29,8,1,1,1,1,1,0.875,1.0,1.0,1.0,14,14,12,6,0,14,14,14,6,0
15,15,0.125,28,7,1,2,1,2,2,0.375,0.25,1.0,1.0,3,0,0,0,1,3,2,3,21,1
16,16,0.125,33,9,1,1,1,1,1,0.25,0.375,1.0,1.0,4,2,4,19,1,8,7,8,11,1
17,17,0.125,38,10,1,1,1,2,2,0.25,0.5,0.5,1.0,4,3,4,19,1,4,0,0,0,1
18,18,0.125,23,6,1,1,1,2,2,0.5,0.75,0.375,1.0,11,11,8,10,0,11,11,11,7,0
19,19,0.125,31,8,1,2,1,1,2,0.0625,0.125,0.0,1.0,3,0,0,0,1,3,1,0,1,1
20,20,0.125,19,5,1,1,1,0,0,0.3125,0.25,1.0,1.0,2,0,0,0,1,4,2,3,22,2
21,21,0.125,40,10,2,2,2,2,2,0.625,1.0,1.0,1.0,20,20,20,5,0,20,20,16,5,0
22,22,0.125,25,7,2,1,1,1,1,0.6875,1.0,1.0,1.0,12,12,12,9,0,12,12,12,7,0
23,23,0.125,43,11,2,1,1,1,1,0.5,0.125,0.625,1.0,5,0,0,0,1,5,3,4,19,2
24,24,0.125,24,6,1,1,1,0,0,0.375,0.125,1.0,1.0,12,12,11,6,0,12,12,12,7,0
25,25,0.125,22,6,2,1,1,2,2,0.0,0.0,1.0,1.0,11,11,11,7,0,11,11,10,8,0
26,26,0.125,28,7,2,1,1,2,2,0.125,0.0,1.0,1.0,14,14,14,7,0,14,14,14,7,0
27,27,0.125,20,5,2,1,1,2,2,0.625,0.75,1.0,1.0,2,1,0,1,1,5,3,3,23,2
