,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,0.5,64,16,395,30,377,77,30,0.25,0.1875,0.0625,1.0,8,0,0,0,1,8,1,2,2,2
1,1,0.5,64,16,838,838,838,838,838,0.375,0.0,0.8125,1.0,8,3,4,17,2,8,7,8,11,1
2,2,0.5,64,16,873,873,873,873,873,1.0,1.0,1.0,1.0,32,32,28,4,0,32,32,32,3,0
3,3,0.5,64,16,2,2,2,2,2,1.0,1.0,1.0,1.0,32,32,30,9,0,32,32,32,3,0
4,4,0.5,64,16,534,534,534,534,534,1.0,0.5,1.0,1.0,32,32,28,5,0,32,32,32,4,0
5,5,0.5,64,16,269,269,269,269,269,1.0,0.125,1.0,1.0,8,0,0,0,1,16,14,16,6,2
6,6,0.5,64,16,885,709,709,709,709,0.625,0.0625,0.75,1.0,8,1,1,2,2,16,13,13,7,2
7,7,0.5,64,16,590,810,810,590,590,0.75,0.25,1.0,1.0,8,0,0,0,1,8,2,3,22,2
8,8,0.5,64,16,133,133,133,133,133,1.0,1.0,1.0,1.0,32,32,26,3,0,32,32,32,3,0
9,9,0.5,64,16,280,715,280,280,280,0.0625,0.75,1.0,1.0,8,1,8,8,1,8,0,0,0,1
10,10,0.5,64,16,211,211,211,211,211,0.875,0.875,1.0,1.0,24,17,23,4,2,8,7,7,10,1
11,11,0.5,64,16,464,512,512,512,512,0.1875,0.5,1.0,1.0,32,32,26,4,0,8,5,8,12,2
12,12,0.5,64,16,800,800,800,800,800,1.0,0.5625,1.0,1.0,32,32,28,5,0,32,32,28,5,0
13,13,0.5,64,16,66,66,61,66,68,0.0625,0.125,0.1875,1.0,8,0,0,0,1,8,0,0,0,1
14,14,0.5,64,16,587,587,587,587,587,1.0,0.5625,1.0,1.0,8,3,7,15,3,16,11,13,7,2
15,15,0.5,64,16,975,708,147,975,975,0.0625,0.0,0.125,1.0,8,0,0,0,1,8,0,0,0,1
16,16,0.5,64,16,889,401,401,401,889,0.125,0.0,0.5,1.0,8,0,0,0,1,8,0,0,0,1
17,17,0.5,64,16,774,774,774,774,774,0.3125,0.375,0.75,1.0,8,1,0,1,1,8,0,0,0,1
18,18,0.5,64,16,138,138,138,138,138,1.0,1.0,1.0,1.0,32,32,27,7,0,32,32,32,3,0
19,19,0.5,64,16,956,956,956,956,956,1.0,1.0,1.0,1.0,16,10,10,8,1,24,21,24,5,1
20,20,0.5,64,16,569,569,569,569,569,1.0,0.375,1.0,1.0,16,10,12,8,2,24,22,24,4,1
21,21,0.5,64,16,214,214,214,214,214,1.0,0.875,1.0,1.0,32,32,28,5,0,32,32,27,3,0
22,22,0.5,64,16,97,97,89,97,97,1.0,0.1875,1.0,1.0,8,0,0,0,1,24,18,18,6,1
23,23,0.5,64,16,919,919,919,919,919,0.5,0.8125,1.0,1.0,8,6,8,12,2,8,3,4,17,3
24,24,0.5,64,16,213,213,213,213,213,1.0,1.0,1.0,1.0,32,32,23,6,0,32,32,32,3,0
25,25,0.5,64,16,233,233,198,233,198,0.125,0.125,0.25,1.0,8,1,2,3,2,8,0,0,0,1
26,26,0.5,64,16,489,489,91,489,489,0.6875,0.0625,1.0,1.0,8,0,0,0,1,32,32,32,5,0
27,27,0.5,64,16,465,414,588,414,636,0.0625,0.0625,1.0,1.0,8,0,0,0,1,8,0,0,0,1
28,28,0.5,64,16,118,118,118,118,118,1.0,0.6875,1.0,1.0,8,2,4,19,3,24,20,24,4,3
29,29,0.5,64,16,675,519,458,412,458,0.125,0.4375,0.125,1.0,8,1,6,8,4,8,0,0,0,1
30,30,0.5,64,16,327,327,952,327,952,0.0,0.25,0.625,1.0,8,0,0,0,1,8,3,4,19,2
31,31,0.5,64,16,784,695,695,695,695,1.0,0.0625,1.0,1.0,8,1,2,4,2,32,32,32,4,0
32,32,0.5,64,16,190,190,190,190,190,0.5625,0.0625,1.0,1.0,8,0,0,0,1,16,13,16,6,1
33,33,0.5,64,16,545,545,545,545,545,0.375,0.5625,1.0,1.0,8,1,4,7,4,8,6,6,13,1
34,34,0.5,64,16,506,506,506,506,506,1.0,0.0,1.0,1.0,8,3,8,16,2,32,32,32,3,0
35,35,0.5,64,16,480,480,707,480,480,0.5,0.125,1.0,1.0,8,0,0,0,1,8,3,8,19,1
36,36,0.5,64,16,133,16,133,133,133,0.0625,0.4375,0.6875,1.0,8,2,3,23,3,8,2,3,22,2
37,37,0.5,64,16,886,886,886,886,886,1.0,0.3125,1.0,1.0,32,32,23,6,0,32,32,32,4,0
38,38,0.5,64,16,967,762,762,762,762,0.0625,0.25,0.125,1.0,8,0,0,0,1,8,0,0,0,1
39,39,0.5,64,16,643,629,837,845,558,0.125,0.0625,1.0,1.0,8,0,0,0,1,8,0,0,0,1
40,40,0.5,64,16,562,843,842,529,529,0.25,0.125,0.0625,1.0,8,0,0,0,1,8,0,0,0,1
41,41,0.5,64,16,396,396,396,396,396,1.0,0.8125,1.0,1.0,8,7,7,9,1,32,27,29,4,2
42,42,0.5,64,16,570,570,570,570,570,1.0,0.75,1.0,1.0,32,32,23,5,0,32,32,31,3,0
43,43,0.5,64,16,690,690,690,690,690,1.0,0.4375,1.0,1.0,16,9,12,7,1,16,11,16,6,2
44,44,0.5,64,16,902,840,688,840,688,0.5625,1.0,0.75,1.0,8,0,0,0,1,8,1,2,12,2
45,45,0.5,64,16,5,34,36,34,34,0.25,0.0625,0.1875,1.0,8,0,0,0,1,8,1,3,2,2
46,46,0.5,64,16,914,914,914,914,914,1.0,0.25,1.0,1.0,8,5,8,10,3,32,32,32,3,0
47,47,0.5,64,16,801,801,148,801,801,1.0,0.1875,1.0,1.0,8,0,0,0,1,16,7,13,8,2
48,48,0.5,64,16,149,149,149,149,149,0.5,0.375,1.0,1.0,8,4,8,12,2,32,31,31,3,1
49,49,0.5,64,16,828,828,828,828,828,1.0,1.0,1.0,1.0,32,32,26,5,0,32,32,32,3,0
50,50,0.5,64,16,965,965,965,965,965,1.0,0.75,1.0,1.0,32,32,31,7,0,32,32,32,3,0
51,51,0.5,64,16,902,902,418,902,418,0.4375,0.125,1.0,1.0,8,0,0,0,1,8,1,3,9,3
52,52,0.5,64,16,962,962,962,962,962,1.0,1.0,1.0,1.0,32,32,30,5,0,32,32,32,7,0
53,53,0.5,64,16,599,410,410,410,410,0.625,0.375,0.875,1.0,8,1,3,3,2,24,13,23,7,3
