,data_ind,lambd,p,nnz,true_label,ones_label,exbs_label,ones_mu_label,exbs_mu_label,ones_gap,exbs_gap,ones_mu_gap,exbs_mu_gap,inc_init_r_max,inc_curr_r_max,inc_max_dist,inc_num_resets,inc_num_ces,dec_init_r_max,dec_curr_r_max,dec_max_dist,dec_num_resets,dec_num_ces
0,0,0.125,64,16,395,30,973,26,26,0.1875,0.1875,1.0,1.0,8,0,0,0,1,8,3,7,19,5
1,1,0.125,64,16,838,838,354,838,838,0.125,0.0,1.0,1.0,16,13,15,8,1,16,14,15,6,2
2,2,0.125,64,16,873,873,873,873,873,0.875,0.3125,1.0,1.0,32,32,31,6,0,32,32,32,4,0
3,3,0.125,64,16,2,2,2,2,2,1.0,0.5,1.0,1.0,32,32,26,6,0,32,32,32,2,0
4,4,0.125,64,16,534,534,651,534,534,0.875,0.0625,1.0,1.0,8,0,0,0,1,32,32,32,4,0
5,5,0.125,64,16,269,269,111,269,269,0.75,0.0,1.0,1.0,8,0,0,0,1,32,26,32,4,1
6,6,0.125,64,16,885,709,111,709,709,0.4375,0.0625,1.0,1.0,16,6,9,8,1,32,32,32,3,0
7,7,0.125,64,16,590,508,508,810,810,0.0625,0.0,0.875,1.0,8,0,0,0,1,8,0,0,0,1
8,8,0.125,64,16,133,133,133,133,133,1.0,0.375,1.0,1.0,32,32,29,5,0,32,32,32,4,0
9,9,0.125,64,16,280,715,446,280,280,0.125,0.0625,0.875,1.0,8,1,3,13,4,8,2,4,20,4
10,10,0.125,64,16,211,211,211,211,211,0.375,0.0625,1.0,1.0,32,32,29,6,0,32,32,32,4,0
11,11,0.125,64,16,464,512,111,512,902,0.125,0.0,0.125,1.0,8,1,3,6,4,8,0,0,0,1
12,12,0.125,64,16,800,865,509,800,509,0.3125,0.0,0.375,1.0,8,0,0,0,1,8,1,3,11,3
13,13,0.125,64,16,66,66,111,68,68,0.0625,0.0625,0.375,1.0,8,0,0,0,1,8,2,5,21,4
14,14,0.125,64,16,587,587,587,587,587,0.625,0.0,0.875,1.0,8,0,0,0,1,16,12,16,7,2
15,15,0.125,64,16,975,975,111,708,708,0.125,0.0,1.0,1.0,8,0,0,0,1,8,1,3,3,3
16,16,0.125,64,16,889,421,510,889,889,0.0,0.0,0.875,1.0,8,0,0,0,1,8,0,0,0,1
17,17,0.125,64,16,774,774,774,774,774,0.3125,0.0,0.75,1.0,8,0,0,0,1,8,4,8,13,3
18,18,0.125,64,16,138,138,138,138,138,0.875,0.0625,1.0,1.0,32,32,30,5,0,32,32,32,3,0
19,19,0.125,64,16,956,956,116,956,956,0.875,0.0,1.0,1.0,8,0,0,0,1,32,32,32,4,0
20,20,0.125,64,16,569,569,569,569,569,0.875,0.125,1.0,1.0,32,32,31,7,0,32,32,32,3,0
21,21,0.125,64,16,214,214,214,214,214,0.5,0.0625,1.0,1.0,8,5,8,14,2,16,14,14,6,1
22,22,0.125,64,16,97,97,111,97,97,0.5,0.0625,1.0,1.0,32,32,30,5,0,32,32,32,3,0
23,23,0.125,64,16,919,693,111,919,919,0.0625,0.0,0.25,1.0,8,0,0,0,1,8,1,3,9,4
24,24,0.125,64,16,213,213,213,213,213,0.8125,0.125,1.0,1.0,32,32,31,4,0,32,32,32,4,0
25,25,0.125,64,16,233,233,233,233,233,0.375,0.0,1.0,1.0,8,0,0,0,1,16,11,14,8,4
26,26,0.125,64,16,489,489,489,489,489,0.1875,0.0625,0.875,1.0,8,0,0,0,1,8,3,6,19,4
27,27,0.125,64,16,465,465,414,465,465,0.5625,0.0,1.0,1.0,8,0,0,0,1,16,13,16,7,2
28,28,0.125,64,16,118,118,118,118,118,0.6875,0.375,1.0,1.0,32,32,24,6,0,32,32,32,3,0
29,29,0.125,64,16,675,412,458,412,412,0.125,0.0625,0.6875,1.0,8,3,6,17,3,8,0,0,0,1
30,30,0.125,64,16,327,327,952,327,327,0.4375,0.0625,1.0,1.0,8,1,0,2,2,8,6,8,12,1
